"filename", "language", "JavaScript", "comment", "blank", "total"
"d:\maturski\foodsprint_backend\middleware\errorHandler.js", "JavaScript", 9, 0, 5, 14
"d:\maturski\foodsprint_backend\middleware\logger.js", "JavaScript", 26, 0, 5, 31
"d:\maturski\foodsprint_backend\middleware\loginLimiter.js", "JavaScript", 20, 0, 3, 23
"d:\maturski\foodsprint_backend\middleware\verifyJWT.js", "JavaScript", 16, 0, 6, 22
"Total", "-", 71, 0, 19, 90
