"filename", "language", "JavaScript", "comment", "blank", "total"
"d:\maturski\foodsprint_backend\models\Menu.js", "JavaScript", 18, 0, 4, 22
"d:\maturski\foodsprint_backend\models\Order.js", "JavaScript", 17, 0, 3, 20
"d:\maturski\foodsprint_backend\models\Restoran.js", "JavaScript", 36, 0, 5, 41
"d:\maturski\foodsprint_backend\models\User.js", "JavaScript", 22, 0, 3, 25
"Total", "-", 93, 0, 15, 108
