"filename", "language", "JavaScript", "comment", "blank", "total"
"d:\maturski\foodsprint_backend\controllers\authController.js", "JavaScript", -78, -11, -21, -110
"d:\maturski\foodsprint_backend\controllers\menuController.js", "JavaScript", -47, 0, -14, -61
"d:\maturski\foodsprint_backend\controllers\ordersController.js", "JavaScript", -74, -24, -25, -123
"d:\maturski\foodsprint_backend\controllers\restoraniController.js", "JavaScript", -89, -27, -29, -145
"d:\maturski\foodsprint_backend\controllers\usersController.js", "JavaScript", -100, -35, -40, -175
"d:\maturski\foodsprint_backend\models\Menu.js", "JavaScript", 18, 0, 4, 22
"d:\maturski\foodsprint_backend\models\Order.js", "JavaScript", 17, 0, 3, 20
"d:\maturski\foodsprint_backend\models\Restoran.js", "JavaScript", 36, 0, 5, 41
"d:\maturski\foodsprint_backend\models\User.js", "JavaScript", 22, 0, 3, 25
"Total", "-", -295, -97, -114, -506
